provinsi;I-01_KA;I-02_KA;I-03_KA;I-04_KA;I-05_KA;I-06_KA;I-07_KA;I-08_KA;I-09_KA;I-10_KA;I-11_KA;I-12_KA;I-13_KA;I-14_KA;I-15_KA;I-16_KA;I-17_KA;I-18_KA;I-19_KA;I-20_KA;I-21_KA;I-22_KA;I-23_KA;I-24_KA;I-25_KA;I-26_KA;I-27_KA;I-28_KA;I-29_KA;I-30_KA;I-31_KA;I-32_KA;I-33_KA;I-34_KA;I-35_KA;I-36_KA;I-37_KA;I-38_KA;I-39_KA;I-40_KA;I-41_KA;I-42_KA;I-43_KA;I-44_KA;I-45_KA;I-46_KA;I-47_KA;I-48_KA;I-49_KA;I-50_KA;I-51_KA;I-52_KA
Aceh;277.99512725552984;1938.4442143792344;1857.035445789582;131.46624682525032;1.752115091568709;-37.3144838116009;613.3802724650478;43.14076178679332;1.948716602571965;0.360620020415867;154.84244944590128;0.0;1929.0513649781185;88.32352138907873;206.48801351266292;17.788827914163843;7.401452038355874;5.1978583329760735;55.491358597422284;0.19734438057590373;14.713354110484746;0.0;42.23767817130606;0.029488111430870816;0.6834975758736127;53.726893038859906;81.79388122635464;37.232148562904825;0.04889688956261019;68.84903694504122;36.22369913910003;270.8109485375556;1531.4384185009997;0.0;460.22599583181017;93.34853459313157;64.99337188451506;223.64601122994546;15.929539129589426;79.92372768412748;186.58869528229403;156.0678494323495;144.2363478740419;25.95506336217902;20.89895388276449;9.686470501004758;151.51260075202453;45.78841023082469;0.0;30.591616519280382;451.2840104833561;354.22784269073145
Bali;0.6313904994962226;473.55103622718565;316.67932837332097;504.4237989321817;0.0;0.0;77.53476943255691;0.0;0.0;0.0;262.9238173244173;0.0;69.5817745247146;22.510570732742853;610.821286859377;312.97351045795284;14.4470144065409;9.797171542405252;18.747338303195043;1.3468103095290895;11.409787987476768;0.0;28.605895099292763;1.455760529799281;22.67121152474117;37.665400241050015;1727.5956645455633;0.0020751406159744182;0.004639194351833464;58.346228652194704;0.12516218067653762;1145.3508913723683;856.7620026391447;0.0;435.77679507415127;2.9953035008080335;178.45008241497177;14825.407309109301;148.3295876383557;3977.4633816949495;1487.0606806006735;142.99680338840574;213.22206183425897;55.219386240779464;33.32737838333569;2.390583291796805;1005.1550652171643;43.25757298617501;19.800659352230607;197.62413167415122;300.58727529581404;787.6509983266939
Banten;68.46023958044496;42.2743655704301;102.39252601882839;581.0444599378511;0.10051514682816587;0.2608219926673734;386.7085713550606;0.17061523541336296;0.15629364162370749;0.0;0.002208018455575563;89.09289083113914;14425.680447942703;0.0;2263.580013521317;192.82072711107708;55.21726180048459;2107.5608878156954;7470.429740029243;4430.602856173147;87.07504642402941;2319.169732189633;24401.993493318078;4682.944548086758;892.8892633945027;1684.1201731121237;4995.855740295657;3689.687401181012;1.9626522024964475;293.6719754842055;586.1483807182552;3803.610804857567;8850.0961640571;235.6085805722598;4873.014398530719;38.15440587856742;1073.5316701071272;68445.78511950237;817.3952041760788;246.13149876929393;1297.9367463907856;1683.1053028417325;277.6158749707639;401.1245269147383;118.99798085303165;206.99514892915562;21009.209298338945;260.1852114670643;2051.818683104514;3692.4510279506503;1399.0942653025584;432.42817320892215
Bengkulu;44.14318819395087;2560.064164824325;312.6432742242873;604.0104423369452;2.9937115535529104;0.7292703887717529;1137.6111488223112;0.0;-1.0894902153522683;0.00021063622539249345;6.2366072535702335;0.0;1341.2038512707381;0.0;35.38648650442992;23.977027393461444;1.8508334736060101;6.1380282980525935;0.006039001794798556;11.574764520725122;0.3891015151168484;0.0013158010956889645;6.495638135012607;0.0;11.483220129231672;122.56240633067884;60.361216538003774;7.770924355531141;0.0;20.54769720120707;334.4195494856709;165.45834488527757;797.4806795531856;0.0;383.02562816625834;119.93718323719342;33.52565424618606;215.60089700460796;24.846272674819758;38.69414279777774;215.74114843116325;0.831941981333435;215.12728922924958;0.0;0.022684745254503747;0.7303476088175621;17.783356112920362;1.6869684312890236;81.12025788227112;49.492677504970594;20.41576787489962;258.623467194551
DI Yogyakarta;416.81064562254113;276.1865187428573;31.527677417926785;28.223222426472905;1.5207679294198755;2.8857779105681356;4.415623719197088;0.0;0.0;0.0;0.9952760260401055;56.81278426181544;1258.1879805564859;2.1592808554465193;1401.7466929321852;275.11488557462417;95.96559388138576;47.553127714228914;120.54792308727012;29.011389904831844;24.366300753186678;0.0;555.2706320598516;29.50983391601337;141.36950061969983;635.8759530953959;998.7475433318998;37.644021950404586;0.004567033888938774;70.64492771297607;236.49988000766487;251.6609447643731;766.1255096561575;343.2391885894458;1140.852045502067;0.0;0.0001407699667122272;3763.6813960144204;318.96743019625757;1604.289857517421;5153.18239243278;1541.827530847257;442.4314102102096;136.6830497974003;56.76206963742541;62.537433480736986;759.635608643755;284.53873875021304;92.81609641393632;3586.221794419279;979.2887643226613;634.1950380033334
DKI Jakarta;0.0;0.0;0.0;0.0;0.07997771169650952;0.0;0.0;66.63776488691646;0.0;0.0;0.0;671.820464176998;10867.751996786725;0.0;15822.354189586325;509.07700748268036;5.19677546529854;646.9204617912751;21814.554290121036;292.907891477677;75.9165156729463;396.3118892700026;25809.533777610966;350.51554457792355;91556.22231949843;590.1573598372347;1231.9356624714294;166.1313529347315;18.44148202685934;0.0;50735.53401558371;6608.615493687709;35470.24488552955;690.8493170383681;9132.15738860199;1819.553032354253;21.616268162176567;1830.9209278994972;5008.599651986779;877.9210202590699;15026.571625355356;26872.77765476769;5028.390036628865;15735.025242175112;2748.846092315264;5992.196697765585;14946.586525741772;8980.081994339751;16486.23758153174;17911.512623667055;15524.192771986263;21738.15167431788
Gorontalo;884.9338809106813;9.548870162322642;9.860076771039653;1.6128957614335002;0.09561092808611263;0.028092253869146846;54.37106173174077;0.0;0.0;3.3832888200625886e-05;0.6395066519788248;0.0;6.841153142521719;0.1847852720167371;5.215052050216329;0.002592553730698382;11.198989537260163;1.5706998171693942;2.867067341001787;0.08866272035689622;0.06493422707737612;6.537766272933056e-05;1.6534995139328155;2.8322764584245372;8.403525810261351;149.0189309593224;73.66405204655652;12.243041760581324;0.010983378045836989;0.37595249760893645;0.7819450269519391;95.63689581900573;196.94295849234624;0.0;32.54332542502674;8.211784350841894;14.86447079204684;141.32784523196875;15.410657003810684;21.990467228776055;170.19323783618717;4.293725707136026;95.93158097896317;39.34318111497691;11.625020594426337;0.03273902274003803;28.656059618702134;1.5585724142686157;212.1086538169013;1.6389182147125223;20.10844509775239;8.440364770993352
Jambi;59.87901849840592;655.6105163425785;525.3493933724576;604.8317799509044;0.14599763751543904;71.48574170487976;331.34031462914487;-0.034427289527185476;5.190715471230554;0.00010339680454569249;24.53581297984069;882.285430787075;7247.301621619277;0.3340248457107814;12.425979469237705;91.28844523047101;95.8380017609494;91.69079195117288;5.963952519365832;148.37325886443725;-0.6542037374730928;0.876185685378686;212.43756819325608;0.0;9.0841365656905e-13;6.3484763548874374;0.018720849580330434;182.33200970217035;0.0;11.299149617145765;0.25711834520111665;693.4233538621702;2065.1248746744004;0.0;387.2005716087295;246.4361411475118;123.3272827436678;787.115469913082;128.34305051889746;251.83371236825587;640.7519960616168;568.5128285352555;216.4215868179302;138.01500845898317;51.427687207226434;9.714035342878615;582.0452116119916;14.624718723423433;0.0;10.445450382983237;339.2827728127898;694.2168414708902
Jawa Barat;659.1473568877921;6779.207168762501;414.51078684938125;1383.453563582235;2.0609580792495343;4.789617226721864;526.3543995825092;9.49010127723174;0.0;0.28067131344397955;18.57378118511995;2923.539992308526;9636.160093761539;751.4842623818317;14275.43818165051;7460.151649824744;300.38787145212865;747.4556817703724;2508.9387061000293;274.49528346403156;74.8157776299526;26.005652183986633;28745.877228438938;77269.27760589683;59133.58122293263;660.2834204798844;14094.885383552748;159.2678415157628;9.126515899438848;563.2047952832556;1129.4390315198289;4446.971694003873;27207.427682551734;234.25384413768776;3745.1393585365695;72.05230432013752;0.41767742887953485;1678.863674300392;211.56603199759692;1033.444193026068;2242.976856266806;1091.6494686054764;600.3947964895283;268.61620437360585;106.33127799383344;109.22941466858938;440.9949933563106;344.56905448169186;918.9655560070682;3572.2310354376336;3581.15377451674;3054.196379912512
Jawa Tengah;1455.7126780869469;12470.69417071762;260.5359251723405;4552.287409197891;2.331693137542067;0.7228787963415755;5.394514839984597;7.040169183438136;0.0;0.0;283.76409467830587;15878.818411719854;21012.018106080843;83286.80503743004;11362.408097791289;5613.975062372092;141.13195143223024;71.64707600388739;84.69222938173586;18.82511397672462;97.51887602071965;3.848880083448129;47.09993524856789;43.115972471775486;82.71195141329595;489.7945149789712;3148.630046840294;2076.740935907915;0.06203957479037737;274.22095538786925;2730.5084447020486;4274.282223887914;12506.912691917893;133.8760229014152;3503.357439009049;963.1358089381122;85.85302755662082;1472.0593235730748;163.4113852336619;949.1110014476569;4057.1873039407083;243.87247627927482;926.3739067998397;151.8309434099887;188.25584828928615;9.977225195594686;2625.750583860424;66.87750043283344;1012.1875533841977;2121.913286962917;1084.7552303910013;3711.942043798509
